from,to,length
49401476,49415005,39.2
49144828,49152862,208.279
49410255,49152862,207.384
49152864,49152862,113.452
49144831,49152864,209.789
49152866,49152864,116.282
49631911,49152864,206.466
49144834,49152866,207.843
49152869,49152866,114.953
49350933,49152866,207.836
49144835,49152869,207.051
49098062,49152869,112.981
49467771,49152869,208.61
49152880,49152876,101.492
49098062,49152876,106.069
49144841,49152876,207.057
49616472,49152876,208.733
49144844,49152880,206.622
49152881,49152880,99.701
49144849,49152881,206.167
49152883,49152881,100.387
48890738,48946680,405.366
48890738,49750805,502.564
360619615,48890738,425.829
49144850,49152883,208.316
49152887,49152883,103.158
49498012,49349489,46.983
49349496,49349489,114.273
49498018,49349489,129.746
48968748,49087346,404.25
48992018,49087346,123.063
49486213,49087346,84.431
49265211,49087346,164.54
49113168,49087347,102.421
49087352,49087347,200.821
48957726,49087347,153.127
49113166,49087347,106.521
49358970,49152887,201.936
49144851,49152887,213.283
49152981,49152887,80.624
49623121,49742708,38.59
49087353,49087352,53.701
49460520,49087352,161.492
49129079,49152890,137.011
49152946,49152890,100.825
49393038,49152890,63.623
2139648062,49087353,276.461
49466679,49087353,158.816
49453929,49349496,88.125
49152893,49152974,35.582
49152895,49152893,91.373
49602612,49152893,80.616
49144712,49152895,199.373
49056859,49152895,203.644
49152899,49152895,99.886
49344155,49415040,133.599
49249777,49415040,56.613
49344154,49415040,165.421
49611647,48951744,78.319
49611651,49611647,27.252
5825909155,49611647,18.166
49087361,49087360,57.727
49618729,49087360,282.216
49568151,49087360,49.218
49472850,1376387971,9.918
1376387971,1376388002,550.365
4343120372,1376387971,169.214
49144716,49152899,200.264
49056861,49152899,202.536
